504,1963
505,667
505,860
505,867
505,989
505,1320
505,1450
505,1488
506,1699
506,1831
506,2156
506,2182
507,1549
509,826
509,1796
509,2219
511,719
511,1274
511,1541
511,1661
511,1854
512,1423
512,1865
513,597
513,796
513,920
513,1022
513,1035
513,1408
513,1712
513,1718
513,1901
513,2028
513,2133
513,2191
513,2269
514,1372
515,1164
515,1557
515,1818
515,1991
517,1311
520,1159
520,1455
523,610
524,2145
524,2250
524,2284
525,740
525,1197
525,1528
526,1148
527,1128
528,1645
529,684
530,574
530,1099
531,1669
534,1525
535,723
536,937
537,632
537,803
537,1953
538,1704
539,1728
540,941
540,1529
541,1516
541,2133
542,725
542,1303
542,2142
543,2196
549,887
550,1644
551,792
551,1254
551,1879
551,2027
551,2225
552,555
552,1248
553,1731
554,947
554,1925
555,1248
556,1212
556,1858
558,1258
558,1933
558,2237
560,1895
561,850
561,1486
561,1509
561,1814
561,1892
561,2007
561,2012
561,2076
562,913
562,1208
562,1620
563,1240
563,1327
563,1434
563,1828
564,664
565,1271
565,1343
565,1469
565,1697
565,1753
565,1981
565,2263
566,695
566,1937
568,1112
568,1769
568,2211
569,773
570,915
570,1654
570,2109
571,1824
571,1881
572,1366
573,2259
574,1099
575,1122
575,1288
575,1365
575,1987
575,2002
576,1434
576,1507
577,1434
578,1918
578,2100
579,807
579,932
580,1291
581,648
581,1040
581,1201
581,1295
581,1907
582,1053
582,1182
582,2006
582,2045
583,723
584,1248
584,2077
584,2207
585,1572
586,1596
586,1635
588,866
588,1778
589,971
589,1567
590,825
590,1970
590,2055
592,624
592,1226
592,1573
592,2128
593,903
594,1629
594,2031
595,1187
596,1247
596,1512
597,920
597,1408
597,2191
597,2269
598,1385
598,2237
599,1443
599,1692
600,866
600,1300
600,1778
602,750
604,802
604,1300
605,744
605,1874
606,1447
606,1902
607,1997
608,1144
608,1537
609,1550
611,1072
612,960
613,2269
614,1594
614,1638
616,2168
617,783
618,1971
618,2225
619,1262
619,1936
620,855
620,1713
620,1725
622,734
622,1130
622,1222
623,1024
623,1147
624,1226
624,1573
624,2128
626,1013
627,1181
627,1438
627,1569
628,1652
629,772
629,1672
630,2216
632,803
632,1953
633,1738
633,2196
634,699
634,781
635,2110
636,1050
636,1776
637,2275
638,896
638,1429
638,1989
639,1282
640,1289
640,1885
640,2022
641,907
642,1485
642,2213
643,1365
643,1453
643,2251
644,936
645,780
645,1716
645,1746
646,1957
647,862
647,1142
648,1295
648,1907
649,664
649,1241
651,2114
652,1223
654,810
654,1502
655,1482
657,2230
659,794
660,857
660,2044
661,831
661,1658
662,1928
663,1419
664,685
664,790
664,919
664,966
664,1004
664,1047
664,1260
664,1418
664,1651
664,1691
664,2028
664,2067
665,1205
666,1003
666,1427
667,860
667,867
667,989
667,1320
667,1450
667,1488
668,755
669,924
669,1501
670,759
670,1035
670,1047
670,1935
670,2234
671,1610
673,1790
673,1840
674,1168
675,795
675,1597
675,2038
675,2107
676,901
676,1640
677,802
677,866
677,878
677,1001
677,1018
677,1026
677,1083
677,1094
677,1149
677,1223
677,1300
677,1536
677,1606
677,1666
677,1778
677,1880
677,1994
677,2073
677,2137
677,2164
677,2259
678,1014
678,1178
678,1650
679,2279
680,1314
680,1480
681,802
682,1975
683,1004
683,1010
683,1261
683,1444
683,1964
685,1651
685,1751
686,2117
690,849
692,1441
692,1683
692,2099
693,746
693,1187
693,1336
694,2243
695,1937
696,1356
696,1754
697,1259
697,2125
698,1018
699,781
702,746
702,1143
702,1174
702,1187
702,1288
702,1387
702,1656
702,1669
702,1987
702,2074
703,2059
704,888
704,2014
705,1152
705,2283
706,939
706,1032
706,1505
706,2145
708,782
710,2004
710,2033
710,2103
712,912
712,1803
713,1227
714,763
714,954
714,1417
714,2194
715,952
715,1680
715,2249
716,1513
716,1515
716,2185
717,801
717,859
717,2097
719,1274
719,1541
719,1661
719,1854
720,1246
720,1662
720,1931
721,1991
721,2244
723,1088
723,1292
723,1431
725,1303
725,2142
726,965
726,1251
728,1682
728,2179
729,902
732,1171
732,1350
732,1739
732,1760
732,1904
733,1005
733,1266
733,2025
734,1022
734,1130
734,1222
734,1424
734,1566
734,1587
734,1624
735,1454
736,1065
736,1152
736,2269
737,1230
737,1968
737,2149
739,951
740,1197
740,1528
741,979
741,1078
741,1631
741,1908
742,921
742,1041
744,1874
745,1402
746,823
746,902
746,1143
746,1174
746,1187
746,1656
746,1788
746,1987
746,2074
749,2072
749,2177
751,993
751,2058
751,2189
753,2195
753,2278
754,1178
756,1045
756,1329
757,1522
757,2221
758,895
759,1110
759,1935
761,877
762,1066
762,1807
763,1417
764,1324
764,2133
765,925
765,1198
765,1570
766,779
766,2151
767,1365
767,1869
767,2018
767,2215
767,2265
768,1393
769,1492
769,1989
771,903
771,2153
772,1672
774,962
774,1092
774,1434
774,1582
775,828
775,1183
776,1967
778,1431
778,1653
778,1849
779,2151
780,1169
780,1342
780,1716
780,1746
780,1924
780,2121
780,2171
781,2133
784,1437
785,1080
786,1567
786,1839
788,1627
788,1785
789,994
792,2027
793,1223
795,1597
795,2038
795,2107
797,1272
799,872
799,1042
799,1162
800,834
800,874
801,849
802,866
802,878
802,1094
802,1149
802,1223
802,1300
802,1344
802,1407
802,1451
802,1572
802,1618
802,1749
802,1751
802,1759
802,1778
802,1880
802,2073
802,2101
802,2127
802,2137
802,2238
802,2259
803,1953
804,2173
804,2261
805,1809
805,2031
806,2190
807,932
808,946
808,1341
808,1767
808,1771
808,2180
809,1808
810,1502
812,1477
813,1555
813,1788
814,1467
814,1782
814,2075
815,1930
817,902
818,1145
818,1223
818,1461
818,2137
819,1932
820,1577
821,905
821,1545
821,2148
821,2240
824,1764
826,1796
826,2219
827,1033
828,1183
829,1043
829,2178
830,1374
830,2093
831,1658
833,991
834,874
835,926
835,1039
836,1073
836,2170
837,1087
837,1799
837,2186
838,1772
839,1982
841,1226
841,2039
843,1660
843,1700
844,1665
845,890
845,1703
845,1712
845,1748
845,1853
846,883
847,1752
847,1979
847,2205
847,2231
849,1646
